[2022-06-13 00:39:54,801] - INFO: ========初始化测试环境========
[2022-06-13 00:39:55,495] - INFO: ========测试完成========
[2022-06-13 00:46:25,776] - INFO: ========初始化测试环境========
[2022-06-13 00:46:26,393] - INFO: ========测试完成========
[2022-06-13 00:48:44,592] - INFO: ========初始化测试环境========
[2022-06-13 00:48:45,211] - INFO: ========测试完成========
[2022-06-13 01:01:44,004] - INFO: ========初始化测试环境========
[2022-06-13 01:01:44,596] - INFO: ========测试完成========
[2022-06-13 01:06:38,410] - INFO: ========初始化测试环境========
[2022-06-13 01:06:38,999] - INFO: ========测试完成========
[2022-06-13 01:08:58,972] - INFO: ========初始化测试环境========
[2022-06-13 01:08:59,552] - INFO: ========测试完成========
[2022-06-13 01:51:34,040] - INFO: ========初始化测试环境========
[2022-06-13 01:51:34,494] - INFO: ========测试完成========
[2022-06-13 01:52:06,674] - INFO: ========初始化测试环境========
[2022-06-13 01:52:07,088] - INFO: ========测试完成========
[2022-06-13 01:58:00,349] - INFO: ========初始化测试环境========
[2022-06-13 01:58:34,053] - INFO: ========初始化测试环境========
[2022-06-13 01:58:45,312] - INFO: 取消设备服务费弹窗/取消更新
[2022-06-13 01:58:51,545] - INFO: ------'新增店铺'测试用例执行------
[2022-06-13 01:58:52,782] - INFO: 点击'全部应用'
[2022-06-13 01:58:54,234] - INFO: 点击'店铺管理'
[2022-06-13 01:58:55,947] - INFO: ------'编辑店铺'测试用例执行------
[2022-06-13 01:58:55,948] - INFO: 点击编辑店铺按钮
[2022-06-13 01:58:56,036] - INFO: ------'删除店铺'测试用例执行------
[2022-06-13 01:58:56,036] - INFO: 点击删除店铺按钮
